state,zip,STCTY,DATAID,coded_hh_id,coded_cust_id,coded_vin,DATE,Date,Date Number,DateID,ESTIMATED_MILEAGE,PURCHASE_EVENT,RO_EVENT,RO_TOTAL_COST,HH_WEALTH_CUR_100_149P9K,HH_WEALTH_CUR_1000K_AND_UP,HH_WEALTH_CUR_150_249P9K,HH_WEALTH_CUR_25_49P9K,HH_WEALTH_CUR_250_499P9K,HH_WEALTH_CUR_50_74P9K,HH_WEALTH_CUR_500_749P9k,HH_WEALTH_CUR_75_99P9K,HH_WEALTH_CUR_750_999P9K,HH_WEALTH_CUR_UNDER_25K,MEDIAN_HH_WEALTH_CUR,CY_HH_EBI_25_34P9K,FY_HH_EBI_25_34P9K,AGGREGATE_HH_INC_CUR,CY_AVG_HH_INCOME,TOTAL_AGE_CUR_15_AND_UP,TOTAL_AGE_CUR_45_54,TOTAL_AGE_CUR_55_64,FEMALE_AGE_CUR_15_AND_UP,FEMALE_AGE_CUR_45_54,FEMALE_AGE_CUR_55_64,MALE_AGE_CUR_15_AND_UP,MALE_AGE_CUR_45_54,MALE_AGE_CUR_55_56,FEMALE_AGE_CUR_0_4,FEMALE_AGE_CUR_10_14,FEMALE_AGE_CUR_15_17,FEMALE_AGE_CUR_16_AND_UP,FEMALE_AGE_CUR_18_19,FEMALE_AGE_CUR_18_AND_UP,FEMALE_AGE_CUR_20,FEMALE_AGE_CUR_21,FEMALE_AGE_CUR_21_AND_UP,FEMALE_AGE_CUR_22_24,FEMALE_AGE_CUR_25_29,FEMALE_AGE_CUR_30_34,FEMALE_AGE_CUR_35_39,FEMALE_AGE_CUR_40_44,FEMALE_AGE_CUR_45_49,FEMALE_AGE_CUR_5_9,FEMALE_AGE_CUR_50_54,FEMALE_AGE_CUR_55_59,FEMALE_AGE_CUR_60_61,FEMALE_AGE_CUR_62_64,FEMALE_AGE_CUR_65_66,FEMALE_AGE_CUR_67_69,FEMALE_AGE_CUR_70_74,FEMALE_AGE_CUR_75_79,FEMALE_AGE_CUR_80_84,FEMALE_AGE_CUR_85_AND_UP,FEMALE_MEDIAN_AGE_CUR,FY_AVG_HH_INCOME,FY_POP_15_PL,HH_CUR,HH_CUR_INC_CUR_10_14P9K,HH_CUR_INC_CUR_100_124P9K,HH_CUR_INC_CUR_125_149P9K,HH_CUR_INC_CUR_15_19P9K,HH_CUR_INC_CUR_150_199P9K,HH_CUR_INC_CUR_20_24P9K,HH_CUR_INC_CUR_200_499P9K,HH_CUR_INC_CUR_25_29P9K,HH_CUR_INC_CUR_30_34P9K,HH_CUR_INC_CUR_35_39P9K,HH_CUR_INC_CUR_40_44P9K,HH_CUR_INC_CUR_45_49P9K,HH_CUR_INC_CUR_50_59P9K,HH_CUR_INC_CUR_500K_AND_UP,HH_CUR_INC_CUR_60_74P9K,HH_CUR_INC_CUR_75_99P9K,HH_CUR_INC_CUR_UNDER_10K,MALE_AGE_CUR_0_4,MALE_AGE_CUR_10_14,MALE_AGE_CUR_15_17,MALE_AGE_CUR_16_AND_UP,MALE_AGE_CUR_18_19,MALE_AGE_CUR_18_AND_UP,MALE_AGE_CUR_20,MALE_AGE_CUR_21,MALE_AGE_CUR_21_AND_UP,MALE_AGE_CUR_22_24,MALE_AGE_CUR_25_29,MALE_AGE_CUR_30_34,MALE_AGE_CUR_35_39,MALE_AGE_CUR_40_44,MALE_AGE_CUR_45_49,MALE_AGE_CUR_5_9,MALE_AGE_CUR_50_54,MALE_AGE_CUR_55_59,MALE_AGE_CUR_60_61,MALE_AGE_CUR_62_64,MALE_AGE_CUR_65_66,MALE_AGE_CUR_67_69,MALE_AGE_CUR_70_74,MALE_AGE_CUR_75_79,MALE_AGE_CUR_80_84,MALE_AGE_CUR_85_AND_UP,MALE_MEDIAN_AGE_CUR,MEDIAN_HH_INC_CUR,POP_CUR,POP_MEDIAN_AGE_CUR,HH_CUR_2_OR_MORE,HH_CUR_ASIAN,HH_CUR_BLACK,HH_CUR_HAWAIIAN,HH_CUR_HISPANIC_2_OR_MORE,HH_CUR_HISPANIC_ASIAN,HH_CUR_HISPANIC_BLACK,HH_CUR_HISPANIC_HAWAIIAN,HH_CUR_HISPANIC_NAT_AMER,HH_CUR_HISPANIC_OTHER,HH_CUR_HISPANIC_WHITE,HH_CUR_NAT_AMER,HH_CUR_NOT_HISPANIC_2_OR_MORE,HH_CUR_NOT_HISPANIC_ASIAN,HH_CUR_NOT_HISPANIC_BLACK,HH_CUR_NOT_HISPANIC_HAWAIIAN,HH_CUR_NOT_HISPANIC_NAT_AMER,HH_CUR_NOT_HISPANIC_OTHER,HH_CUR_NOT_HISPANIC_WHITE,HH_CUR_OTHER,HH_CUR_WHITE,TOTAL_CUR_2_OR_MORE,TOTAL_CUR_ASIAN,TOTAL_CUR_BLACK,TOTAL_CUR_HAWAIIAN,TOTAL_CUR_HISPANIC_2_OR_MORE,TOTAL_CUR_HISPANIC_ASIAN,TOTAL_CUR_HISPANIC_BLACK,TOTAL_CUR_HISPANIC_HAWAIIAN,TOTAL_CUR_HISPANIC_NAT_AMER,TOTAL_CUR_HISPANIC_OTHER,TOTAL_CUR_HISPANIC_WHITE,TOTAL_CUR_NAT_AMER,TOTAL_CUR_NOT_HISPANIC_2_OR_MORE,TOTAL_CUR_NOT_HISPANIC_ASIAN,TOTAL_CUR_NOT_HISPANIC_BLACK,TOTAL_CUR_NOT_HISPANIC_HAWAIIAN,TOTAL_CUR_NOT_HISPANIC_NAT_AMER,TOTAL_CUR_NOT_HISPANIC_OTHER,TOTAL_CUR_NOT_HISPANIC_WHITE,TOTAL_CUR_OTHER,TOTAL_CUR_WHITE,HH,PWEALTH_GTOE_25K,PWEALTH_GTOE_50K,PWEALTH_GTOE_75K,PWEALTH_GTOE_100K,PWEALTH_GTOE_150K,PWEALTH_GTOE_250K,PWEALTH_GTOE_500K,PWEALTH_GTOE_750K,PAGE_MALE_GTOE_20,PAGE_MALE_GTOE_21,PAGE_MALE_GTOE_24,PAGE_MALE_GTOE_25,PAGE_MALE_GTOE_30,PAGE_MALE_GTOE_35,PAGE_MALE_GTOE_40,PAGE_MALE_GTOE_45,PAGE_MALE_GTOE_50,PAGE_MALE_GTOE_55,PAGE_MALE_GTOE_60,PAGE_MALE_GTOE_62,PAGE_MALE_GTOE_65,PAGE_MALE_GTOE_67,PAGE_MALE_GTOE_70,PAGE_MALE_GTOE_75,PAGE_MALE_GTOE_80,PAGE_MALE_GTOE_85,PAGE_FEFEMALE_GTOE_20,PAGE_FEFEMALE_GTOE_21,PAGE_FEFEMALE_GTOE_24,PAGE_FEFEMALE_GTOE_25,PAGE_FEFEMALE_GTOE_30,PAGE_FEMALE_GTOE_35,PAGE_FEMALE_GTOE_40,PAGE_FEMALE_GTOE_45,PAGE_FEMALE_GTOE_50,PAGE_FEMALE_GTOE_55,PAGE_FEMALE_GTOE_60,PAGE_FEMALE_GTOE_62,PAGE_FEMALE_GTOE_65,PAGE_FEMALE_GTOE_67,PAGE_FEMALE_GTOE_70,PAGE_FEMALE_GTOE_75,PAGE_FEMALE_GTOE_80,PAGE_FEMALE_GTOE_85,PTOTAL_2_OR_MORE,PTOTAL_ASIAN,PTOTAL_BLACK,PTOTAL_HAWAIIAN,PTOTAL_HISPANIC_2_OR_MORE,PTOTAL_HISPANIC_ASIAN,PTOTAL_HISPANIC_BLACK,PTOTAL_HISPANIC_HAWAIIAN,PTOTAL_HISPANIC_NAT_AMER,PTOTAL_HISPANIC_OTHER,PTOTAL_HISPANIC_WHITE,PTOTAL_NAT_AMER,PTOTAL_OTHER,PTOTAL_WHITE
MA,10751776970,,,491,82557,137994,"Sat, 3 Dec 2005", 3 Dec 2005,38689,"Sat, 3 Dec 2005",0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,68,69,2,8,1,1,0,0,40,77,8,40,67,68,2,8,5,6415,45,6492,306,569,300,10,52,4,17,1,1,158,345,21,254,565,282,8,20,19,15742,177,16087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016965638,0.031547984,0.016597444,0.000526758,0.002894666,0.000220764,0.00096319,5.63E-05,8.18E-05,0.008754694,0.019097489,0.001189901,0.009823593,0.891279796
MA,10751776970,,,491,82557,137994,"Sat, 10 Dec 2005",10 Dec 2005,38696,"Sat, 10 Dec 2005",120.1801386,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,68,69,2,8,1,1,0,0,40,77,8,40,67,68,2,8,5,6415,45,6492,307,570,300,10,52,4,17,1,1,158,345,21,254,566,283,8,20,19,15741,177,16086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016982173,0.031574534,0.016616023,0.000526615,0.002897966,0.000220961,0.000964714,5.60E-05,8.21E-05,0.008760765,0.019121095,0.001190135,0.009832456,0.891174383
MA,10751776970,,,491,82557,137994,"Sat, 17 Dec 2005",17 Dec 2005,38703,"Sat, 17 Dec 2005",240.3602771,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,68,69,2,8,1,1,0,0,40,77,8,40,67,68,2,8,5,6415,45,6492,307,570,300,10,52,4,17,1,1,158,346,21,254,566,283,8,20,19,15740,178,16086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016998706,0.031601079,0.016634599,0.000526471,0.002901265,0.000221158,0.000966239,5.58E-05,8.25E-05,0.008766836,0.019144697,0.00119037,0.009841318,0.891068986
MA,10751776970,,,491,82557,137994,"Sat, 24 Dec 2005",24 Dec 2005,38710,"Sat, 24 Dec 2005",360.5404157,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,68,69,2,8,1,1,0,0,40,77,8,40,67,68,2,8,5,6415,45,6492,307,571,301,10,52,4,17,1,1,158,346,21,255,567,283,8,20,19,15739,178,16085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017015237,0.03162762,0.016653173,0.000526328,0.002904564,0.000221355,0.000967763,5.56E-05,8.28E-05,0.008772906,0.019168296,0.001190604,0.009850179,0.890963603
MA,10751776970,,,491,82557,137994,"Sat, 31 Dec 2005",31 Dec 2005,38717,"Sat, 31 Dec 2005",480.7205543,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,69,70,2,9,1,1,0,0,41,78,9,41,68,69,2,9,5,6415,46,6493,308,572,301,10,53,4,18,1,2,159,347,22,255,568,284,9,20,20,15738,178,16084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017031765,0.031654158,0.016671744,0.000526185,0.002907862,0.000221551,0.000969287,5.54E-05,8.31E-05,0.008778975,0.019191891,0.001190839,0.009859038,0.890858235
MA,10751776970,,,491,82557,137994,"Sat, 7 Jan 2006", 7 Jan 2006,38724,"Sat, 7 Jan 2006",600.9006928,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,69,70,1,9,1,1,0,0,41,78,9,41,68,69,1,9,5,6415,46,6493,308,572,301,9,53,4,18,1,2,159,347,22,255,568,284,9,20,20,15736,178,16083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017048291,0.031680692,0.016690312,0.000526041,0.00291116,0.000221748,0.000970811,5.52E-05,8.34E-05,0.008785043,0.019215483,0.001191073,0.009867896,0.890752882
MA,10751776970,,,491,82557,137994,"Sat, 14 Jan 2006",14 Jan 2006,38731,"Sat, 14 Jan 2006",721.0808314,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,69,70,1,9,1,1,0,0,41,78,9,41,68,69,1,9,5,6415,46,6493,308,573,302,9,53,4,18,1,2,159,347,22,256,569,284,9,20,20,15735,178,16082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017064815,0.031707223,0.016708878,0.000525898,0.002914458,0.000221945,0.000972335,5.50E-05,0.000083707,0.00879111,0.019239072,0.001191308,0.009876753,0.890647544
MA,10751776970,,,491,82557,137994,"Sat, 21 Jan 2006",21 Jan 2006,38738,"Sat, 21 Jan 2006",841.26097,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,69,70,1,9,1,1,0,0,41,78,9,41,68,69,1,9,5,6415,46,6493,308,573,302,9,53,4,18,1,2,159,348,22,256,569,284,9,20,20,15734,179,16082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017081336,0.031733749,0.016727441,0.000525755,0.002917755,0.000222141,0.000973859,5.47E-05,8.40E-05,0.008797177,0.019262658,0.001191542,0.009885609,0.89054222
MA,10751776970,,,491,82557,137994,"Sat, 28 Jan 2006",28 Jan 2006,38745,"Sat, 28 Jan 2006",961.4411086,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,69,70,1,9,1,1,0,0,41,78,9,41,68,69,1,9,5,6415,46,6493,309,574,302,9,53,4,18,1,2,159,348,22,256,570,285,9,20,20,15733,179,16081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017097855,0.031760272,0.016746002,0.000525612,0.002921051,0.000222338,0.000975382,5.45E-05,8.43E-05,0.008803242,0.01928624,0.001191776,0.009894463,0.890436912
MA,10751776970,,,491,82557,137994,"Sat, 4 Feb 2006", 4 Feb 2006,38752,"Sat, 4 Feb 2006",1081.621247,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,69,70,1,9,1,1,0,0,41,78,9,41,68,69,1,9,5,6415,46,6493,309,574,303,9,53,4,18,1,2,159,349,22,256,570,285,9,20,20,15731,179,16080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017114371,0.031786791,0.01676456,0.000525468,0.002924347,0.000222535,0.000976905,0.000054307,8.46E-05,0.008809307,0.019309819,0.001192011,0.009903316,0.890331618
